latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.89004,-96.18257,322.63,1.29,1.13,2025-03-25,1618,T,77,6.1NRT,296.46,17.12,D
40.91473,-94.04328,314.08,1,1,2025-03-25,1611,T,72,6.1NRT,287.7,11.6,D
19.73289,-102.70312,326.53,1.31,1.13,2025-03-25,1618,T,53,6.1NRT,301.62,26.21,D
40.9131,-94.03175,316.4,1,1,2025-03-25,1611,T,65,6.1NRT,287.76,13.08,D
19.72301,-102.70509,318.92,1.31,1.13,2025-03-25,1618,T,18,6.1NRT,299.92,14.75,D
19.07098,-98.15245,314.77,1.04,1.02,2025-03-25,1618,T,58,6.1NRT,295.71,5.68,D
41.2377,-99.85736,308.62,1.65,1.26,2025-03-25,1611,T,64,6.1NRT,276.95,17.89,D
40.62595,-94.49418,301.49,1.01,1,2025-03-25,1611,T,35,6.1NRT,285.86,3.04,D
18.83764,-96.69834,313.61,1.21,1.09,2025-03-25,1618,T,61,6.1NRT,291.67,8.16,D
40.61747,-94.83115,312.18,1.02,1.01,2025-03-25,1611,T,72,6.1NRT,285.12,10.38,D
19.6537,-102.48139,321.13,1.26,1.12,2025-03-25,1618,T,66,6.1NRT,305.43,13.5,D
40.61591,-94.8195,307.7,1.02,1.01,2025-03-25,1611,T,66,6.1NRT,284.08,7.31,D
18.81324,-96.66831,312.74,1.21,1.09,2025-03-25,1618,T,59,6.1NRT,291.78,7.4,D
39.87092,-90.22565,311.14,1.25,1.11,2025-03-25,1611,T,71,6.1NRT,286.42,13.14,D
19.92732,-104.98076,328.52,1.89,1.34,2025-03-25,1618,T,74,6.1NRT,307.28,43.09,D
39.86844,-90.21162,312.97,1.25,1.11,2025-03-25,1611,T,59,6.1NRT,287.65,14.76,D
19.02186,-98.62511,326.04,1.02,1.01,2025-03-25,1618,T,0,6.1NRT,291.93,24.24,D
40.01384,-92.78074,301.28,1.03,1.01,2025-03-25,1611,T,46,6.1NRT,279.85,5.1,D
19.54602,-102.51492,319.86,1.27,1.12,2025-03-25,1618,T,60,6.1NRT,304.31,10.21,D
40.01204,-92.76909,301.98,1.03,1.01,2025-03-25,1611,T,50,6.1NRT,279.23,5.48,D
19.00499,-99.07629,318.51,1,1,2025-03-25,1618,T,40,6.1NRT,295.73,10.17,D
40.80478,-100.23049,349.36,1.72,1.29,2025-03-25,1611,T,95,6.1NRT,285.57,125.04,D
19.00364,-99.06702,326.09,1,1,2025-03-25,1618,T,72,6.1NRT,298.17,18.29,D
39.59268,-91.00002,311.35,1.17,1.08,2025-03-25,1611,T,71,6.1NRT,286.03,12.4,D
18.99623,-99.07755,322.26,1,1,2025-03-25,1618,T,65,6.1NRT,297.39,12.88,D
39.58334,-91.00266,305.78,1.17,1.08,2025-03-25,1611,T,58,6.1NRT,286.09,7.79,D
18.99488,-99.06833,356.72,1,1,2025-03-25,1618,T,98,6.1NRT,300.15,71.82,D
39.7515,-92.17542,302.31,1.06,1.03,2025-03-25,1611,T,52,6.1NRT,282.77,5.65,D
18.99353,-99.05908,322.2,1,1,2025-03-25,1618,T,50,6.1NRT,299.76,13.06,D
40.0866,-95.07887,350.57,1.02,1.01,2025-03-25,1611,T,96,6.1NRT,283.96,63.76,D
19.17301,-100.72168,336.8,1.04,1.02,2025-03-25,1618,T,87,6.1NRT,305.55,28.49,D
40.08503,-95.06728,321.39,1.02,1.01,2025-03-25,1611,T,78,6.1NRT,279.68,17.96,D
19.17165,-100.7119,336.14,1.04,1.02,2025-03-25,1618,T,87,6.1NRT,306.56,26.61,D
40.07777,-95.08083,339,1.02,1.01,2025-03-25,1611,T,91,6.1NRT,278.46,42.17,D
